userid;ratingType;movie;rate;duration
1;thumbs;Friday the 13th;thumbDown;13,754
1;thumbs;The Conjuring;thumbDown;2,946
1;thumbs;Black Panther;thumbUp;4,644
1;thumbs;The Hunger Games: Catching Fire;thumbUp;3,811
2;star;Fast & Furious 6;4;27,632
2;star;The Lion King;5;4,129
2;star;The Wolf of Wall Street;5;2,659
2;star;American Pie;3;2,621
2;star;50 First Dates;4;5,914
2;star;Cars;4;5,558
2;star;Edward Scissorhands;5;2,65
2;star;Star Trek;5;6,389
2;star;War for the Planet of the Apes;5;3,916
2;star;The Shape of Water;4;4,309
2;star;Maleficent;2;4,031
2;star;The Blue Lagoon;3;3,43
2;star;Toy Story 3;5;2,208
2;star;The Twilight Saga: New Moon;3;12,197
2;star;Ted;1;3,792
2;star;Batman v Superman: Dawn of Justice;3;11,129
2;star;Twilight;3;8,344
2;star;Minha Ṃe ̩ uma Pe̤a: O Filme;5;10,304
2;star;Black Panther;5;4,635
2;star;Interstellar;5;14,759
2;star;Star Wars: The Force Awakens;4;6,24
2;star;Titanic;4;4,061
2;star;Skyfall;4;3,019
2;star;Guardians of the Galaxy;4;5,615
2;star;Bruce Almighty;4;4,13
2;star;Fantastic Beasts and Where to Find Them;4;4,977
2;star;Corpse Bride;4;5,26
2;star;Despicable Me;3;7,998
2;star;I Am Legend;3;5,944
2;star;Miss Peregrine's Home for Peculiar Children;3;8,911
2;star;Frozen;1;5,603
2;star;The Hunger Games: Catching Fire;4;3,642
2;star;Captain America: Civil War;5;2,958
2;star;Avatar;5;1,791
2;star;Shrek;5;2,538
2;star;Harry Potter and the Deathly Hallows: Part 2;5;4,767
2;star;The Hangover;3;3,451
2;star;The Conjuring;5;6,602
2;star;O Auto da Compadecida;4;4,85
2;star;Troy;3;6,638
2;star;The Dark Knight;5;6,646
2;star;Iron Man;4;6,304
2;star;Zootopia;2;3,878
2;star;The Karate Kid;3;7,552
2;star;Justice League;3;5,328
2;star;Spider-Man: Homecoming;3;4,002
2;star;Finding Nemo;5;5,262
2;star;Hotel Transylvania;5;3,658
2;star;Paranormal Activity;3;6,65
2;star;Suicide Squad;1;5,26
2;star;The Matrix;4;5,831
2;star;The Incredibles;5;4,413
2;star;The Lord of the Rings: The Return of the King;5;3,536
2;star;Jurassic Park;5;2,498
2;star;Dear John;3;3,917
2;star;Thor: Ragnarok;4;2,662
2;star;Avengers: Infinity War;5;2,382
2;star;Gravity;5;2,779
2;star;300;2;3,634
2;star;Deadpool;4;5,718
2;star;Ice Age;5;7,045
2;star;The Twilight Saga: Eclipse;3;10,006
2;star;The Passion of the Christ;4;3,137
2;star;Monsters, Inc,;5;3,838
2;star;John Wick;2;8,703
2;star;Rio;2;4,683
2;star;Elite Squad;4;2,959
2;star;Me Before You;4;7,264
2;star;Se Eu Fosse Voc̻;4;4,381
2;star;It;4;3,034
2;star;Pirates of the Caribbean: The Curse of the Black Pearl;4;15,101
2;star;The Hobbit: The Desolation of Smaug;5;3,03
2;star;Click;5;1,811
3;thumbs;Justice League;thumbUp;14,263
3;thumbs;Se Eu Fosse Voc̻;thumbDown;5,185
3;thumbs;O Auto da Compadecida;thumbDown;1,599
4;star;Sharknado;4;71,29
4;star;Thor: Ragnarok;5;6,089
4;star;Paranormal Activity;4;4,488
4;star;Iron Man;5;2,983
4;star;The Hobbit: The Desolation of Smaug;5;3,318
4;star;Friday the 13th;3;6,908
4;star;Harry Potter and the Deathly Hallows: Part 2;5;10,295
4;star;The Shape of Water;5;2,974
4;star;Black Panther;5;2,415
4;star;Skyfall;5;1,606
4;star;Ted;4;2,247
4;star;Minha Ṃe ̩ uma Pe̤a: O Filme;5;2,164
4;star;Fast & Furious 6;5;1,528
4;star;Beauty and the Beast;5;2,549
4;star;It;3;2,306
4;star;Deadpool;5;1,679
4;star;Ice Age;5;3,174
4;star;Guardians of the Galaxy;5;2,357
4;star;Fight Clube;5;2,59
4;star;The Incredibles;5;6,175
4;star;Finding Nemo;5;1,436
4;star;War for the Planet of the Apes;5;2,424
4;star;Titanic;5;1,538
4;star;Monsters, Inc,;5;1,138
4;star;The Blue Lagoon;5;1,86
4;star;Cars;5;1,554
4;star;The Matrix;5;1,479
4;star;Maleficent;5;1,587
4;star;Captain America: Civil War;5;1,388
4;star;Justice League;5;3,768
4;star;Avatar;5;1,821
4;star;Hotel Transylvania;5;1,738
4;star;Batman v Superman: Dawn of Justice;5;1,621
4;star;Star Wars: The Force Awakens;5;2,523
4;star;The Hangover;5;2,316
4;star;Bruce Almighty;5;1,962
4;star;The Wolf of Wall Street;5;1,679
4;star;American Pie;5;3,094
4;star;The Fate of the Furios;5;1,656
4;star;The Passion of the Christ;5;1,68
4;star;The Lion King;5;2,296
4;star;Avengers: Infinity War;5;1,235
4;star;The Hunger Games: Catching Fire;5;2,198
4;star;The Karate Kid;5;2,649
4;star;The Lord of the Rings: The Return of the King;5;1,188
4;star;Dear John;5;2,246
4;star;Jurassic Park;5;1,078
4;star;Gravity;5;1,721
4;star;I Am Legend;5;2,031
4;star;Freddy vs, Jason;5;3,402
4;star;Fantastic Beasts and Where to Find Them;5;2,069
4;star;Zootopia;5;2,031
4;star;Troy;5;1,954
4;star;The Dark Knight;5;1,437
4;star;Fifty Shades of Grey;5;2,213
4;star;John Wick;5;3,083
4;star;Pirates of the Caribbean: The Curse of the Black Pearl;5;36,331
4;star;Shrek;5;1,446
4;star;Toy Story 3;5;4,865
4;star;Elite Squad;5;1,686
4;star;Me Before You;5;2,339
4;star;Rio;5;1,763
4;star;Twilight;5;1,972
4;star;50 First Dates;5;3,302
5;star;Click;4;13,044
5;star;Pirates of the Caribbean: The Curse of the Black Pearl;3;1,783
5;star;Maleficent;4;1,391
5;star;Avatar;3;1,814
5;star;The Incredibles;4;1,773
5;star;Beauty and the Beast;5;1,82
6;star;The Twilight Saga: New Moon;1;32,1
6;star;Shrek;5;8,922
6;star;Avengers: Infinity War;5;2,081
6;star;Fast & Furious 6;3;3,017
6;star;Elite Squad;5;1,968
6;star;Miss Peregrine's Home for Peculiar Children;2;12,985
6;star;The Lord of the Rings: The Return of the King;5;2,201
6;star;Titanic;1;1,753
6;star;The Twilight Saga: Eclipse;1;1,807
6;star;The Hunger Games: Catching Fire;1;3,149
6;star;War for the Planet of the Apes;4;9,019
6;star;Rio;3;4,634
6;star;It;5;1,778
6;star;O Auto da Compadecida;5;2,33
6;star;Captain America: Civil War;5;1,454
6;star;The Blue Lagoon;1;2,534
6;star;Jurassic Park;5;2,99
6;star;Corpse Bride;3;4,341
6;star;Paranormal Activity;2;8,222
6;star;Spider-Man: Homecoming;5;4,353
6;star;Ice Age;5;4,609
6;star;Interstellar;5;2,358
6;star;Frozen;5;4,994
6;star;Fantastic Beasts and Where to Find Them;5;6,034
6;star;Despicable Me;2;9,781
6;star;I Am Legend;4;18,467
6;star;The Hobbit: The Desolation of Smaug;3;3,714
6;star;Minha Ṃe ̩ uma Pe̤a: O Filme;3;3,001
6;star;American Pie;5;2,402
6;star;Ted;5;1,816
6;star;Hotel Transylvania;5;6,5
6;star;Zootopia;5;6,734
7;star;The Hobbit: The Desolation of Smaug;2;13381,294
7;star;Finding Nemo;5;3,032
7;star;The Matrix;4;2,608
7;star;Minha Ṃe ̩ uma Pe̤a: O Filme;5;2,842
7;star;Avatar;4;2,686
7;star;The Passion of the Christ;5;3,052
7;star;Troy;3;3,529
7;star;300;3;2,877
7;star;Monsters, Inc,;5;2,24
7;star;The Shape of Water;5;2,448
7;star;Zootopia;5;0,163
7;star;Elite Squad;4;2,477
7;star;Hotel Transylvania;5;4,016
7;star;The Twilight Saga: Eclipse;2;2,923
7;star;Fantastic Beasts and Where to Find Them;5;4,38
7;star;The Twilight Saga: New Moon;2;3,059
7;star;Iron Man;5;2,602
7;star;Se Eu Fosse Voc̻;5;3,272
7;star;The Karate Kid;3;3,354
7;star;Shrek;4;1,674
7;star;Click;3;1,797
7;star;Ted;4;2,344
7;star;Cars;3;4,826
7;star;Spider-Man: Homecoming;4;2,678
8;star;Titanic;2;5,632
8;star;Suicide Squad;3;9,2
8;star;The Passion of the Christ;4;4,162
8;star;50 First Dates;4;3,916
8;star;Bruce Almighty;4;3,68
8;star;Interstellar;5;2,421
8;star;Freddy vs, Jason;4;7,402
8;star;Paranormal Activity;4;7,508
8;star;Deadpool;5;1,773
8;star;The Twilight Saga: Eclipse;2;6,881
8;star;Iron Man;4;2,85
8;star;The Twilight Saga: New Moon;1;2,417
8;star;The Lord of the Rings: The Return of the King;4;6,904
8;star;Final Destination;3;7,639
8;star;Guardians of the Galaxy;4;2,687
8;star;Justice League;3;4,461
8;star;Monsters, Inc,;3;2,45
8;star;The Wolf of Wall Street;5;2,427
8;star;Harry Potter and the Deathly Hallows: Part 2;5;2,725
8;star;Skyfall;5;1,918
8;star;Click;3;2,108
8;star;Fight Clube;5;4,426
8;star;American Pie;3;2,494
8;star;Se Eu Fosse Voc̻;3;2,227
8;star;The Matrix;5;2,089
9;thumbs;The Lion King;thumbUp;2607,758
9;thumbs;Pirates of the Caribbean: The Curse of the Black Pearl;thumbUp;5,083
9;thumbs;Rio;thumbUp;2,031
9;thumbs;Toy Story 3;thumbUp;1,495
9;thumbs;Black Panther;thumbUp;2,056
9;thumbs;Frozen;thumbUp;2,537
9;thumbs;The Hobbit: The Desolation of Smaug;thumbUp;1,446
9;thumbs;Skyfall;thumbUp;1,389
9;thumbs;Twilight;thumbDown;1,569
10;thumbs;Thor: Ragnarok;thumbUp;18,842
10;thumbs;Miss Peregrine's Home for Peculiar Children;thumbUp;3,399
10;thumbs;Star Wars: The Force Awakens;thumbUp;3,168
11;star;The Hangover;3;10,161
11;star;Beauty and the Beast;5;2,909
11;star;The Wolf of Wall Street;2;1,853
11;star;The Incredibles;3;1,511
11;star;Fight Clube;1;1,929
11;star;Justice League;3;1,602
11;star;Rio;4;1,718
11;star;Maleficent;3;1,604
11;star;Spider-Man: Homecoming;5;1,227
11;star;Suicide Squad;4;1,348
11;star;Corpse Bride;5;1,428
11;star;Elite Squad;2;2,027
11;star;Click;1;1,944
12;thumbs;300;thumbUp;11,289
12;thumbs;Avengers: Infinity War;thumbUp;1,449
12;thumbs;Captain America: Civil War;thumbUp;2,379
12;thumbs;The Conjuring;thumbDown;2,613
13;star;The Lego Movie;5;28,786
13;star;Fantastic Beasts and Where to Find Them;5;8,338
13;star;Dear John;4;1,973
13;star;La La Land;3;1,646
13;star;Edward Scissorhands;5;1,761
13;star;Batman v Superman: Dawn of Justice;5;1,576
13;star;Me Before You;5;1,289
13;star;Titanic;5;1,369
13;star;Frozen;5;1,524
13;star;Twilight;5;1,526
13;star;Avatar;5;1,29
14;star;Titanic;3;14,297
14;star;The Dark Knight;4;5,135
14;star;O Auto da Compadecida;4;15,164
14;star;Shrek;4;21,308
14;star;50 First Dates;3;3,184
14;star;Se Eu Fosse Voc̻;2;5,284
14;star;Deadpool;4;3,711
14;star;Skyfall;3;2,814
14;star;La La Land;5;4,268
14;star;Avatar;4;10,879
14;star;Guardians of the Galaxy Vol, 2;5;2,187
14;star;The Matrix;5;2,707
14;star;Ted;3;2,441
14;star;The Lord of the Rings: The Two Towers;5;16,376
14;star;Black Panther;3;5,72
14;star;The Hangover;3;3,644
14;star;Edward Scissorhands;4;5,236
15;thumbs;Pirates of the Caribbean: The Curse of the Black Pearl;thumbUp;10,544
15;thumbs;Guardians of the Galaxy;thumbUp;11,159
15;thumbs;Cars;thumbDown;8,085
15;thumbs;Click;thumbUp;3,962
15;thumbs;Toy Story 3;thumbDown;2,977
15;thumbs;The Hangover;thumbUp;3,01
15;thumbs;The Hunger Games: Catching Fire;thumbDown;2,812
15;thumbs;Iron Man;thumbUp;2,22
15;thumbs;Harry Potter and the Deathly Hallows: Part 2;thumbUp;2,506
15;thumbs;300;thumbUp;2,351
15;thumbs;Captain America: Civil War;thumbUp;2,119
16;thumbs;Batman v Superman: Dawn of Justice;thumbUp;12,138
16;thumbs;Rio;thumbUp;10,135
16;thumbs;Se Eu Fosse Voc̻;thumbUp;4,253
16;thumbs;The Lego Movie;thumbUp;5,001
16;thumbs;Cars;thumbUp;1,167
16;thumbs;Zootopia;thumbUp;0,686
16;thumbs;Suicide Squad;thumbUp;7,067
16;thumbs;Frozen;thumbUp;3,214
16;thumbs;American Pie;thumbUp;1,569
16;thumbs;Titanic;thumbUp;1,521
16;thumbs;The Fate of the Furios;thumbUp;2,524
16;thumbs;Twilight;thumbUp;1,653
16;thumbs;Guardians of the Galaxy;thumbUp;1,456
16;thumbs;Gravity;thumbUp;1,151
16;thumbs;Star Wars: The Force Awakens;thumbUp;1,76
16;thumbs;Hotel Transylvania;thumbUp;1,487
16;thumbs;Avengers: Infinity War;thumbUp;1,278
16;thumbs;Ted;thumbUp;0,92
16;thumbs;Jurassic Park;thumbUp;0,862
16;thumbs;Freddy vs, Jason;thumbUp;1,034
16;thumbs;Ice Age;thumbUp;0,869
16;thumbs;Iron Man;thumbUp;1,864
16;thumbs;Spider-Man: Homecoming;thumbUp;0,944
16;thumbs;Deadpool;thumbUp;0,86
16;thumbs;Me Before You;thumbUp;1,472
16;thumbs;Fantastic Beasts and Where to Find Them;thumbUp;2,18
16;thumbs;Dear John;thumbUp;1,095
16;thumbs;Fast & Furious 6;thumbUp;0,851
16;thumbs;War for the Planet of the Apes;thumbUp;0,996
16;thumbs;Justice League;thumbUp;1,669
16;thumbs;The Dark Knight;thumbUp;1,221
16;thumbs;300;thumbUp;0,717
16;thumbs;The Lord of the Rings: The Return of the King;thumbUp;1,295
16;thumbs;The Passion of the Christ;thumbUp;0,786
16;thumbs;Edward Scissorhands;thumbUp;0,477
16;thumbs;Beauty and the Beast;thumbUp;0,4
16;thumbs;The Matrix;thumbUp;0,718
16;thumbs;Toy Story 3;thumbUp;0,369
16;thumbs;Friday the 13th;thumbUp;0,358
16;thumbs;Troy;thumbUp;0,384
16;thumbs;Sharknado;thumbUp;0,352
16;thumbs;Interstellar;thumbUp;0,675
17;star;Suicide Squad;2;148,327
17;star;The Hunger Games: Catching Fire;1;34,159
17;star;The Karate Kid;5;12,835
17;star;Monsters, Inc,;5;31,423
17;star;Pirates of the Caribbean: The Curse of the Black Pearl;3;20,128
17;star;Rio;2;3,92
17;star;Ice Age;4;8,27
17;star;Finding Nemo;5;2,632
17;star;The Twilight Saga: New Moon;1;2,984
17;star;Fantastic Beasts and Where to Find Them;2;5,023
17;star;Friday the 13th;1;4,551
17;star;O Auto da Compadecida;5;50,704
17;star;50 First Dates;5;85,488
17;star;Avengers: Infinity War;5;2,727
17;star;Iron Man;5;1,928
17;star;Skyfall;1;3,961
17;star;Despicable Me;3;3,543
17;star;Harry Potter and the Deathly Hallows: Part 2;2;2,104
17;star;The Shape of Water;1;2,344
17;star;Jurassic Park;1;3,008
17;star;Cars;3;2,6
17;star;I Am Legend;2;2,728
17;star;Thor: Ragnarok;5;3,199
17;star;Maleficent;1;3,154
17;star;Toy Story 3;4;1,927
17;star;Beauty and the Beast;1;2,903
17;star;Click;3;2,225
17;star;Spider-Man: Homecoming;4;2,72
17;star;Star Wars: The Force Awakens;3;17,256
17;star;Paranormal Activity;1;2,856
17;star;Se Eu Fosse Voc̻;1;1,984
17;star;Ted;2;1,911
17;star;Gravity;1;1,88
17;star;The Blue Lagoon;1;2,231
17;star;The Incredibles;5;2,728
17;star;Sharknado;1;2,4
17;star;The Lego Movie;1;1,689
18;thumbs;Dear John;thumbUp;71,762
18;thumbs;The Lego Movie;thumbUp;6,487
18;thumbs;Bruce Almighty;thumbUp;3,025
18;thumbs;Freddy vs, Jason;thumbUp;4,118
18;thumbs;The Blue Lagoon;thumbUp;4,81
18;thumbs;Suicide Squad;thumbDown;4,349
18;thumbs;Fifty Shades of Grey;thumbUp;7,218
18;thumbs;Paranormal Activity;thumbDown;5,413
18;thumbs;Maleficent;thumbDown;2,973
18;thumbs;The Dark Knight;thumbUp;2,375
18;thumbs;Deadpool;thumbUp;3,044
18;thumbs;The Incredibles;thumbUp;1,854
18;thumbs;Skyfall;thumbUp;1,801
18;thumbs;John Wick;thumbUp;1,547
18;thumbs;The Karate Kid;thumbUp;1,756
18;thumbs;Thor: Ragnarok;thumbUp;1,187
18;thumbs;Star Wars: The Force Awakens;thumbDown;1,765
18;thumbs;Beauty and the Beast;thumbUp;1,907
19;thumbs;Suicide Squad;thumbUp;40,131
19;thumbs;The Hobbit: The Desolation of Smaug;thumbUp;1,568
19;thumbs;Dear John;thumbDown;1,483
20;thumbs;Jurassic Park;thumbDown;545,63
20;thumbs;The Lord of the Rings: The Return of the King;thumbUp;3,08
20;thumbs;Thor: Ragnarok;thumbUp;3,236
20;thumbs;Finding Nemo;thumbUp;51,748
20;thumbs;Hotel Transylvania;thumbDown;4,279
20;thumbs;The Avengers;thumbUp;5,084
20;thumbs;Ted;thumbUp;3,237
20;thumbs;La La Land;thumbUp;2,099
20;thumbs;Guardians of the Galaxy;thumbUp;4,564
20;thumbs;Elite Squad;thumbUp;4,139
20;thumbs;Maleficent;thumbUp;3,276
20;thumbs;Minha Ṃe ̩ uma Pe̤a: O Filme;thumbDown;4,044
20;thumbs;The Karate Kid;thumbDown;6,62
20;thumbs;Titanic;thumbDown;3,753
20;thumbs;Avatar;thumbUp;4,368
21;thumbs;Guardians of the Galaxy;thumbUp;13,587
21;thumbs;The Shape of Water;thumbDown;3,099
21;thumbs;Monsters, Inc,;thumbUp;2,6
21;thumbs;Twilight;thumbDown;1,388
22;thumbs;Spider-Man: Homecoming;thumbUp;9,514
22;thumbs;Fantastic Beasts and Where to Find Them;thumbUp;1,98
22;thumbs;The Matrix;thumbDown;2,146
22;thumbs;American Pie;thumbDown;2,88
23;star;War for the Planet of the Apes;5;11,95
23;star;O Auto da Compadecida;5;3,202
23;star;Paranormal Activity;2;3,388
23;star;Jurassic Park;4;3,233
23;star;Elite Squad;4;2,662
23;star;Titanic;4;2,649
23;star;The Hangover;2;1,888
23;star;300;4;3,48
23;star;I Am Legend;5;3,424
23;star;Black Panther;5;4,512
23;star;The Lord of the Rings: The Return of the King;5;1,641
23;star;The Twilight Saga: New Moon;1;2,43
23;star;Skyfall;4;2,032
23;star;The Hunger Games: Catching Fire;5;3,368
23;star;The Wolf of Wall Street;5;11,912
23;star;Star Wars: The Force Awakens;4;8,242
23;star;Ice Age;4;2,326
23;star;Interstellar;4;4,776
24;thumbs;Zootopia;thumbDown;14,667
24;thumbs;The Lego Movie;thumbDown;1,543
24;thumbs;The Passion of the Christ;thumbDown;1,209
24;thumbs;The Blue Lagoon;thumbDown;4,436
24;thumbs;The Lord of the Rings: The Return of the King;thumbUp;1,897
24;thumbs;Dear John;thumbDown;2,147
24;thumbs;Twilight;thumbDown;2,676
24;thumbs;Avengers: Infinity War;thumbUp;1,279
25;thumbs;Skyfall;thumbUp;14,736
25;thumbs;Avatar;thumbUp;1,43
25;thumbs;Troy;thumbDown;1,869
26;thumbs;Captain America: Civil War;thumbDown;57,97
26;thumbs;Bruce Almighty;thumbDown;10,252
26;thumbs;Click;thumbDown;2,877
26;thumbs;The Karate Kid;thumbUp;6,405
26;thumbs;300;thumbUp;6,686
26;thumbs;Deadpool;thumbUp;6,221
26;thumbs;Dear John;thumbDown;3,524
26;thumbs;The Matrix;thumbUp;2,682
26;thumbs;Friday the 13th;thumbUp;3,263
26;thumbs;Skyfall;thumbUp;3,386
26;thumbs;Corpse Bride;thumbUp;2,613
26;thumbs;It;thumbUp;2,081
26;thumbs;Hotel Transylvania;thumbUp;4,103
26;thumbs;Toy Story 3;thumbUp;2,691
26;thumbs;Fight Clube;thumbUp;4,839
26;thumbs;The Passion of the Christ;thumbUp;3,607
